emoji,unicode_name,group,subgroup,slug,codepoint,attestation_status
👨‍🔧,man mechanic,People & Body,,man_mechanic,U+1F468 U+200D U+1F527,inferred_coherent
👩‍🔧,woman mechanic,People & Body,,woman_mechanic,U+1F469 U+200D U+1F527,inferred_coherent
🧑‍🏭,factory worker,People & Body,,factory_worker,U+1F9D1 U+200D U+1F3ED,inferred_coherent
👨‍🏭,man factory worker,People & Body,,man_factory_worker,U+1F468 U+200D U+1F3ED,inferred_coherent
👩‍🏭,woman factory worker,People & Body,,woman_factory_worker,U+1F469 U+200D U+1F3ED,inferred_coherent
🧑‍💼,office worker,People & Body,,office_worker,U+1F9D1 U+200D U+1F4BC,inferred_coherent
👨‍💼,man office worker,People & Body,,man_office_worker,U+1F468 U+200D U+1F4BC,inferred_coherent
👩‍💼,woman office worker,People & Body,,woman_office_worker,U+1F469 U+200D U+1F4BC,inferred_coherent
🧑‍🔬,scientist,People & Body,,scientist,U+1F9D1 U+200D U+1F52C,inferred_coherent
👨‍🔬,man scientist,People & Body,,man_scientist,U+1F468 U+200D U+1F52C,inferred_coherent
👩‍🔬,woman scientist,People & Body,,woman_scientist,U+1F469 U+200D U+1F52C,inferred_coherent
🧑‍💻,technologist,People & Body,,technologist,U+1F9D1 U+200D U+1F4BB,inferred_coherent
👨‍💻,man technologist,People & Body,,man_technologist,U+1F468 U+200D U+1F4BB,inferred_coherent
👩‍💻,woman technologist,People & Body,,woman_technologist,U+1F469 U+200D U+1F4BB,inferred_coherent
🧑‍🎤,singer,People & Body,,singer,U+1F9D1 U+200D U+1F3A4,inferred_coherent
👨‍🎤,man singer,People & Body,,man_singer,U+1F468 U+200D U+1F3A4,inferred_coherent
👩‍🎤,woman singer,People & Body,,woman_singer,U+1F469 U+200D U+1F3A4,inferred_coherent
🧑‍🎨,artist,People & Body,,artist,U+1F9D1 U+200D U+1F3A8,inferred_coherent
👨‍🎨,man artist,People & Body,,man_artist,U+1F468 U+200D U+1F3A8,inferred_coherent
👩‍🎨,woman artist,People & Body,,woman_artist,U+1F469 U+200D U+1F3A8,inferred_coherent
🧑‍✈️,pilot,People & Body,,pilot,U+1F9D1 U+200D U+2708 U+FE0F,inferred_coherent
👨‍✈️,man pilot,People & Body,,man_pilot,U+1F468 U+200D U+2708 U+FE0F,inferred_coherent
👩‍✈️,woman pilot,People & Body,,woman_pilot,U+1F469 U+200D U+2708 U+FE0F,inferred_coherent
🧑‍🚀,astronaut,People & Body,,astronaut,U+1F9D1 U+200D U+1F680,inferred_coherent
👨‍🚀,man astronaut,People & Body,,man_astronaut,U+1F468 U+200D U+1F680,inferred_coherent
👩‍🚀,woman astronaut,People & Body,,woman_astronaut,U+1F469 U+200D U+1F680,inferred_coherent
🧑‍🚒,firefighter,People & Body,,firefighter,U+1F9D1 U+200D U+1F692,inferred_coherent
👨‍🚒,man firefighter,People & Body,,man_firefighter,U+1F468 U+200D U+1F692,inferred_coherent
👩‍🚒,woman firefighter,People & Body,,woman_firefighter,U+1F469 U+200D U+1F692,inferred_coherent
👮,police officer,People & Body,,police_officer,U+1F46E,inferred_coherent
👮‍♂️,man police officer,People & Body,,man_police_officer,U+1F46E U+200D U+2642 U+FE0F,inferred_coherent
👮‍♀️,woman police officer,People & Body,,woman_police_officer,U+1F46E U+200D U+2640 U+FE0F,inferred_coherent
🕵️,detective,People & Body,,detective,U+1F575 U+FE0F,inferred_coherent
🕵️‍♂️,man detective,People & Body,,man_detective,U+1F575 U+FE0F U+200D U+2642 U+FE0F,inferred_coherent
🕵️‍♀️,woman detective,People & Body,,woman_detective,U+1F575 U+FE0F U+200D U+2640 U+FE0F,inferred_coherent
💂,guard,People & Body,,guard,U+1F482,inferred_coherent
💂‍♂️,man guard,People & Body,,man_guard,U+1F482 U+200D U+2642 U+FE0F,inferred_coherent
💂‍♀️,woman guard,People & Body,,woman_guard,U+1F482 U+200D U+2640 U+FE0F,inferred_coherent
🥷,ninja,People & Body,,ninja,U+1F977,inferred_coherent
👷,construction worker,People & Body,,construction_worker,U+1F477,inferred_coherent
👷‍♂️,man construction worker,People & Body,,man_construction_worker,U+1F477 U+200D U+2642 U+FE0F,inferred_coherent
👷‍♀️,woman construction worker,People & Body,,woman_construction_worker,U+1F477 U+200D U+2640 U+FE0F,inferred_coherent
🫅,person with crown,People & Body,,person_with_crown,U+1FAC5,inferred_coherent
🤴,prince,People & Body,,prince,U+1F934,inferred_coherent
👸,princess,People & Body,,princess,U+1F478,inferred_coherent
👳,person wearing turban,People & Body,,person_wearing_turban,U+1F473,inferred_coherent
👳‍♂️,man wearing turban,People & Body,,man_wearing_turban,U+1F473 U+200D U+2642 U+FE0F,inferred_coherent
👳‍♀️,woman wearing turban,People & Body,,woman_wearing_turban,U+1F473 U+200D U+2640 U+FE0F,inferred_coherent
👲,person with skullcap,People & Body,,person_with_skullcap,U+1F472,inferred_coherent
🧕,woman with headscarf,People & Body,,woman_with_headscarf,U+1F9D5,inferred_coherent
🤵,person in tuxedo,People & Body,,person_in_tuxedo,U+1F935,inferred_coherent
🤵‍♂️,man in tuxedo,People & Body,,man_in_tuxedo,U+1F935 U+200D U+2642 U+FE0F,inferred_coherent
🤵‍♀️,woman in tuxedo,People & Body,,woman_in_tuxedo,U+1F935 U+200D U+2640 U+FE0F,inferred_coherent
👰,person with veil,People & Body,,person_with_veil,U+1F470,inferred_coherent
👰‍♂️,man with veil,People & Body,,man_with_veil,U+1F470 U+200D U+2642 U+FE0F,inferred_coherent
👰‍♀️,woman with veil,People & Body,,woman_with_veil,U+1F470 U+200D U+2640 U+FE0F,inferred_coherent
🤰,pregnant woman,People & Body,,pregnant_woman,U+1F930,inferred_coherent
🫃,pregnant man,People & Body,,pregnant_man,U+1FAC3,inferred_coherent
🫄,pregnant person,People & Body,,pregnant_person,U+1FAC4,inferred_coherent
🤱,breast-feeding,People & Body,,breast_feeding,U+1F931,inferred_coherent
👩‍🍼,woman feeding baby,People & Body,,woman_feeding_baby,U+1F469 U+200D U+1F37C,inferred_coherent
👨‍🍼,man feeding baby,People & Body,,man_feeding_baby,U+1F468 U+200D U+1F37C,inferred_coherent
🧑‍🍼,person feeding baby,People & Body,,person_feeding_baby,U+1F9D1 U+200D U+1F37C,inferred_coherent
👼,baby angel,People & Body,,baby_angel,U+1F47C,inferred_coherent
🎅,Santa Claus,People & Body,,santa_claus,U+1F385,inferred_coherent
🤶,Mrs. Claus,People & Body,,mrs_claus,U+1F936,inferred_coherent
🧑‍🎄,Mx Claus,People & Body,,mx_claus,U+1F9D1 U+200D U+1F384,inferred_coherent
🦸,superhero,People & Body,,superhero,U+1F9B8,inferred_coherent
🦸‍♂️,man superhero,People & Body,,man_superhero,U+1F9B8 U+200D U+2642 U+FE0F,inferred_coherent
🦸‍♀️,woman superhero,People & Body,,woman_superhero,U+1F9B8 U+200D U+2640 U+FE0F,inferred_coherent
🦹,supervillain,People & Body,,supervillain,U+1F9B9,inferred_coherent
🦹‍♂️,man supervillain,People & Body,,man_supervillain,U+1F9B9 U+200D U+2642 U+FE0F,inferred_coherent
🦹‍♀️,woman supervillain,People & Body,,woman_supervillain,U+1F9B9 U+200D U+2640 U+FE0F,inferred_coherent
🧙,mage,People & Body,,mage,U+1F9D9,inferred_coherent
🧙‍♂️,man mage,People & Body,,man_mage,U+1F9D9 U+200D U+2642 U+FE0F,inferred_coherent
🧙‍♀️,woman mage,People & Body,,woman_mage,U+1F9D9 U+200D U+2640 U+FE0F,inferred_coherent
🧚,fairy,People & Body,,fairy,U+1F9DA,inferred_coherent
🧚‍♂️,man fairy,People & Body,,man_fairy,U+1F9DA U+200D U+2642 U+FE0F,inferred_coherent
🧚‍♀️,woman fairy,People & Body,,woman_fairy,U+1F9DA U+200D U+2640 U+FE0F,inferred_coherent
🧛,vampire,People & Body,,vampire,U+1F9DB,inferred_coherent
🧛‍♂️,man vampire,People & Body,,man_vampire,U+1F9DB U+200D U+2642 U+FE0F,inferred_coherent
🧛‍♀️,woman vampire,People & Body,,woman_vampire,U+1F9DB U+200D U+2640 U+FE0F,inferred_coherent
🧜,merperson,People & Body,,merperson,U+1F9DC,inferred_coherent
🧜‍♂️,merman,People & Body,,merman,U+1F9DC U+200D U+2642 U+FE0F,inferred_coherent
🧜‍♀️,mermaid,People & Body,,mermaid,U+1F9DC U+200D U+2640 U+FE0F,inferred_coherent
🧝,elf,People & Body,,elf,U+1F9DD,inferred_coherent
🧝‍♂️,man elf,People & Body,,man_elf,U+1F9DD U+200D U+2642 U+FE0F,inferred_coherent
🧝‍♀️,woman elf,People & Body,,woman_elf,U+1F9DD U+200D U+2640 U+FE0F,inferred_coherent
🧞,genie,People & Body,,genie,U+1F9DE,inferred_coherent
🧞‍♂️,man genie,People & Body,,man_genie,U+1F9DE U+200D U+2642 U+FE0F,inferred_coherent
🧞‍♀️,woman genie,People & Body,,woman_genie,U+1F9DE U+200D U+2640 U+FE0F,inferred_coherent
🧟,zombie,People & Body,,zombie,U+1F9DF,inferred_coherent
🧟‍♂️,man zombie,People & Body,,man_zombie,U+1F9DF U+200D U+2642 U+FE0F,inferred_coherent
🧟‍♀️,woman zombie,People & Body,,woman_zombie,U+1F9DF U+200D U+2640 U+FE0F,inferred_coherent
🧌,troll,People & Body,,troll,U+1F9CC,inferred_coherent
💆,person getting massage,People & Body,,person_getting_massage,U+1F486,inferred_coherent
💆‍♂️,man getting massage,People & Body,,man_getting_massage,U+1F486 U+200D U+2642 U+FE0F,inferred_coherent
💆‍♀️,woman getting massage,People & Body,,woman_getting_massage,U+1F486 U+200D U+2640 U+FE0F,inferred_coherent
💇,person getting haircut,People & Body,,person_getting_haircut,U+1F487,inferred_coherent
💇‍♂️,man getting haircut,People & Body,,man_getting_haircut,U+1F487 U+200D U+2642 U+FE0F,inferred_coherent
💇‍♀️,woman getting haircut,People & Body,,woman_getting_haircut,U+1F487 U+200D U+2640 U+FE0F,inferred_coherent
🚶,person walking,People & Body,,person_walking,U+1F6B6,inferred_coherent
🚶‍♂️,man walking,People & Body,,man_walking,U+1F6B6 U+200D U+2642 U+FE0F,inferred_coherent
🚶‍♀️,woman walking,People & Body,,woman_walking,U+1F6B6 U+200D U+2640 U+FE0F,inferred_coherent
🚶‍➡️,person walking facing right,People & Body,,person_walking_facing_right,U+1F6B6 U+200D U+27A1 U+FE0F,inferred_coherent
🚶‍♀️‍➡️,woman walking facing right,People & Body,,woman_walking_facing_right,U+1F6B6 U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F,inferred_coherent
🚶‍♂️‍➡️,man walking facing right,People & Body,,man_walking_facing_right,U+1F6B6 U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F,inferred_coherent
🧍,person standing,People & Body,,person_standing,U+1F9CD,inferred_coherent
🧍‍♂️,man standing,People & Body,,man_standing,U+1F9CD U+200D U+2642 U+FE0F,inferred_coherent
🧍‍♀️,woman standing,People & Body,,woman_standing,U+1F9CD U+200D U+2640 U+FE0F,inferred_coherent
🧎,person kneeling,People & Body,,person_kneeling,U+1F9CE,inferred_coherent
🧎‍♂️,man kneeling,People & Body,,man_kneeling,U+1F9CE U+200D U+2642 U+FE0F,inferred_coherent
🧎‍♀️,woman kneeling,People & Body,,woman_kneeling,U+1F9CE U+200D U+2640 U+FE0F,inferred_coherent
🧎‍➡️,person kneeling facing right,People & Body,,person_kneeling_facing_right,U+1F9CE U+200D U+27A1 U+FE0F,inferred_coherent
🧎‍♀️‍➡️,woman kneeling facing right,People & Body,,woman_kneeling_facing_right,U+1F9CE U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F,inferred_coherent
🧎‍♂️‍➡️,man kneeling facing right,People & Body,,man_kneeling_facing_right,U+1F9CE U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F,inferred_coherent
🧑‍🦯,person with white cane,People & Body,,person_with_white_cane,U+1F9D1 U+200D U+1F9AF,inferred_coherent
🧑‍🦯‍➡️,person with white cane facing right,People & Body,,person_with_white_cane_facing_right,U+1F9D1 U+200D U+1F9AF U+200D U+27A1 U+FE0F,inferred_coherent
👨‍🦯,man with white cane,People & Body,,man_with_white_cane,U+1F468 U+200D U+1F9AF,inferred_coherent
👨‍🦯‍➡️,man with white cane facing right,People & Body,,man_with_white_cane_facing_right,U+1F468 U+200D U+1F9AF U+200D U+27A1 U+FE0F,inferred_coherent
👩‍🦯,woman with white cane,People & Body,,woman_with_white_cane,U+1F469 U+200D U+1F9AF,inferred_coherent
👩‍🦯‍➡️,woman with white cane facing right,People & Body,,woman_with_white_cane_facing_right,U+1F469 U+200D U+1F9AF U+200D U+27A1 U+FE0F,inferred_coherent
🧑‍🦼,person in motorized wheelchair,People & Body,,person_in_motorized_wheelchair,U+1F9D1 U+200D U+1F9BC,inferred_coherent
🧑‍🦼‍➡️,person in motorized wheelchair facing right,People & Body,,person_in_motorized_wheelchair_facing_right,U+1F9D1 U+200D U+1F9BC U+200D U+27A1 U+FE0F,inferred_coherent
👨‍🦼,man in motorized wheelchair,People & Body,,man_in_motorized_wheelchair,U+1F468 U+200D U+1F9BC,inferred_coherent
👨‍🦼‍➡️,man in motorized wheelchair facing right,People & Body,,man_in_motorized_wheelchair_facing_right,U+1F468 U+200D U+1F9BC U+200D U+27A1 U+FE0F,inferred_coherent
👩‍🦼,woman in motorized wheelchair,People & Body,,woman_in_motorized_wheelchair,U+1F469 U+200D U+1F9BC,inferred_coherent
👩‍🦼‍➡️,woman in motorized wheelchair facing right,People & Body,,woman_in_motorized_wheelchair_facing_right,U+1F469 U+200D U+1F9BC U+200D U+27A1 U+FE0F,inferred_coherent
🧑‍🦽,person in manual wheelchair,People & Body,,person_in_manual_wheelchair,U+1F9D1 U+200D U+1F9BD,inferred_coherent
🧑‍🦽‍➡️,person in manual wheelchair facing right,People & Body,,person_in_manual_wheelchair_facing_right,U+1F9D1 U+200D U+1F9BD U+200D U+27A1 U+FE0F,inferred_coherent
👨‍🦽,man in manual wheelchair,People & Body,,man_in_manual_wheelchair,U+1F468 U+200D U+1F9BD,inferred_coherent
👨‍🦽‍➡️,man in manual wheelchair facing right,People & Body,,man_in_manual_wheelchair_facing_right,U+1F468 U+200D U+1F9BD U+200D U+27A1 U+FE0F,inferred_coherent
👩‍🦽,woman in manual wheelchair,People & Body,,woman_in_manual_wheelchair,U+1F469 U+200D U+1F9BD,inferred_coherent
👩‍🦽‍➡️,woman in manual wheelchair facing right,People & Body,,woman_in_manual_wheelchair_facing_right,U+1F469 U+200D U+1F9BD U+200D U+27A1 U+FE0F,inferred_coherent
🏃,person running,People & Body,,person_running,U+1F3C3,inferred_coherent
🏃‍♂️,man running,People & Body,,man_running,U+1F3C3 U+200D U+2642 U+FE0F,inferred_coherent
🏃‍♀️,woman running,People & Body,,woman_running,U+1F3C3 U+200D U+2640 U+FE0F,inferred_coherent
🏃‍➡️,person running facing right,People & Body,,person_running_facing_right,U+1F3C3 U+200D U+27A1 U+FE0F,inferred_coherent
🏃‍♀️‍➡️,woman running facing right,People & Body,,woman_running_facing_right,U+1F3C3 U+200D U+2640 U+FE0F U+200D U+27A1 U+FE0F,inferred_coherent
🏃‍♂️‍➡️,man running facing right,People & Body,,man_running_facing_right,U+1F3C3 U+200D U+2642 U+FE0F U+200D U+27A1 U+FE0F,inferred_coherent
💃,woman dancing,People & Body,,woman_dancing,U+1F483,inferred_coherent
🕺,man dancing,People & Body,,man_dancing,U+1F57A,inferred_coherent
🕴️,person in suit levitating,People & Body,,person_in_suit_levitating,U+1F574 U+FE0F,inferred_coherent
👯,people with bunny ears,People & Body,,people_with_bunny_ears,U+1F46F,inferred_coherent
👯‍♂️,men with bunny ears,People & Body,,men_with_bunny_ears,U+1F46F U+200D U+2642 U+FE0F,inferred_coherent
👯‍♀️,women with bunny ears,People & Body,,women_with_bunny_ears,U+1F46F U+200D U+2640 U+FE0F,inferred_coherent
🧖,person in steamy room,People & Body,,person_in_steamy_room,U+1F9D6,inferred_coherent
🧖‍♂️,man in steamy room,People & Body,,man_in_steamy_room,U+1F9D6 U+200D U+2642 U+FE0F,inferred_coherent
🧖‍♀️,woman in steamy room,People & Body,,woman_in_steamy_room,U+1F9D6 U+200D U+2640 U+FE0F,inferred_coherent
🧗,person climbing,People & Body,,person_climbing,U+1F9D7,inferred_coherent
🧗‍♂️,man climbing,People & Body,,man_climbing,U+1F9D7 U+200D U+2642 U+FE0F,inferred_coherent
🧗‍♀️,woman climbing,People & Body,,woman_climbing,U+1F9D7 U+200D U+2640 U+FE0F,inferred_coherent
🤺,person fencing,People & Body,,person_fencing,U+1F93A,inferred_coherent
🏇,horse racing,People & Body,,horse_racing,U+1F3C7,inferred_coherent
⛷️,skier,People & Body,,skier,U+26F7 U+FE0F,inferred_coherent
🏂,snowboarder,People & Body,,snowboarder,U+1F3C2,inferred_coherent
🏌️,person golfing,People & Body,,person_golfing,U+1F3CC U+FE0F,inferred_coherent
🏌️‍♂️,man golfing,People & Body,,man_golfing,U+1F3CC U+FE0F U+200D U+2642 U+FE0F,inferred_coherent
🏌️‍♀️,woman golfing,People & Body,,woman_golfing,U+1F3CC U+FE0F U+200D U+2640 U+FE0F,inferred_coherent
🏄,person surfing,People & Body,,person_surfing,U+1F3C4,inferred_coherent
🏄‍♂️,man surfing,People & Body,,man_surfing,U+1F3C4 U+200D U+2642 U+FE0F,inferred_coherent
🏄‍♀️,woman surfing,People & Body,,woman_surfing,U+1F3C4 U+200D U+2640 U+FE0F,inferred_coherent
🚣,person rowing boat,People & Body,,person_rowing_boat,U+1F6A3,inferred_coherent
🚣‍♂️,man rowing boat,People & Body,,man_rowing_boat,U+1F6A3 U+200D U+2642 U+FE0F,inferred_coherent
🚣‍♀️,woman rowing boat,People & Body,,woman_rowing_boat,U+1F6A3 U+200D U+2640 U+FE0F,inferred_coherent
🏊,person swimming,People & Body,,person_swimming,U+1F3CA,inferred_coherent
🏊‍♂️,man swimming,People & Body,,man_swimming,U+1F3CA U+200D U+2642 U+FE0F,inferred_coherent
🏊‍♀️,woman swimming,People & Body,,woman_swimming,U+1F3CA U+200D U+2640 U+FE0F,inferred_coherent
⛹️,person bouncing ball,People & Body,,person_bouncing_ball,U+26F9 U+FE0F,inferred_coherent
⛹️‍♂️,man bouncing ball,People & Body,,man_bouncing_ball,U+26F9 U+FE0F U+200D U+2642 U+FE0F,inferred_coherent
⛹️‍♀️,woman bouncing ball,People & Body,,woman_bouncing_ball,U+26F9 U+FE0F U+200D U+2640 U+FE0F,inferred_coherent
🏋️,person lifting weights,People & Body,,person_lifting_weights,U+1F3CB U+FE0F,inferred_coherent
🏋️‍♂️,man lifting weights,People & Body,,man_lifting_weights,U+1F3CB U+FE0F U+200D U+2642 U+FE0F,inferred_coherent
🏋️‍♀️,woman lifting weights,People & Body,,woman_lifting_weights,U+1F3CB U+FE0F U+200D U+2640 U+FE0F,inferred_coherent
🚴,person biking,People & Body,,person_biking,U+1F6B4,inferred_coherent
🚴‍♂️,man biking,People & Body,,man_biking,U+1F6B4 U+200D U+2642 U+FE0F,inferred_coherent
🚴‍♀️,woman biking,People & Body,,woman_biking,U+1F6B4 U+200D U+2640 U+FE0F,inferred_coherent
🚵,person mountain biking,People & Body,,person_mountain_biking,U+1F6B5,inferred_coherent
🚵‍♂️,man mountain biking,People & Body,,man_mountain_biking,U+1F6B5 U+200D U+2642 U+FE0F,inferred_coherent
🚵‍♀️,woman mountain biking,People & Body,,woman_mountain_biking,U+1F6B5 U+200D U+2640 U+FE0F,inferred_coherent
🤸,person cartwheeling,People & Body,,person_cartwheeling,U+1F938,inferred_coherent
🤸‍♂️,man cartwheeling,People & Body,,man_cartwheeling,U+1F938 U+200D U+2642 U+FE0F,inferred_coherent
🤸‍♀️,woman cartwheeling,People & Body,,woman_cartwheeling,U+1F938 U+200D U+2640 U+FE0F,inferred_coherent
🤼,people wrestling,People & Body,,people_wrestling,U+1F93C,inferred_coherent
🤼‍♂️,men wrestling,People & Body,,men_wrestling,U+1F93C U+200D U+2642 U+FE0F,inferred_coherent
🤼‍♀️,women wrestling,People & Body,,women_wrestling,U+1F93C U+200D U+2640 U+FE0F,inferred_coherent
🤽,person playing water polo,People & Body,,person_playing_water_polo,U+1F93D,inferred_coherent
🤽‍♂️,man playing water polo,People & Body,,man_playing_water_polo,U+1F93D U+200D U+2642 U+FE0F,inferred_coherent
🤽‍♀️,woman playing water polo,People & Body,,woman_playing_water_polo,U+1F93D U+200D U+2640 U+FE0F,inferred_coherent
🤾,person playing handball,People & Body,,person_playing_handball,U+1F93E,inferred_coherent
🤾‍♂️,man playing handball,People & Body,,man_playing_handball,U+1F93E U+200D U+2642 U+FE0F,inferred_coherent
🤾‍♀️,woman playing handball,People & Body,,woman_playing_handball,U+1F93E U+200D U+2640 U+FE0F,inferred_coherent
🤹,person juggling,People & Body,,person_juggling,U+1F939,inferred_coherent
🤹‍♂️,man juggling,People & Body,,man_juggling,U+1F939 U+200D U+2642 U+FE0F,inferred_coherent
🤹‍♀️,woman juggling,People & Body,,woman_juggling,U+1F939 U+200D U+2640 U+FE0F,inferred_coherent
🧘,person in lotus position,People & Body,,person_in_lotus_position,U+1F9D8,inferred_coherent
🧘‍♂️,man in lotus position,People & Body,,man_in_lotus_position,U+1F9D8 U+200D U+2642 U+FE0F,inferred_coherent
🧘‍♀️,woman in lotus position,People & Body,,woman_in_lotus_position,U+1F9D8 U+200D U+2640 U+FE0F,inferred_coherent
🛀,person taking bath,People & Body,,person_taking_bath,U+1F6C0,inferred_coherent
🛌,person in bed,People & Body,,person_in_bed,U+1F6CC,inferred_coherent
🧑‍🤝‍🧑,people holding hands,People & Body,,people_holding_hands,U+1F9D1 U+200D U+1F91D U+200D U+1F9D1,inferred_coherent
👭,women holding hands,People & Body,,women_holding_hands,U+1F46D,inferred_coherent
👫,woman and man holding hands,People & Body,,woman_and_man_holding_hands,U+1F46B,inferred_coherent
👬,men holding hands,People & Body,,men_holding_hands,U+1F46C,inferred_coherent
💏,kiss,People & Body,,kiss,U+1F48F,inferred_coherent
👩‍❤️‍💋‍👨,"kiss woman, man",People & Body,,kiss_woman_man,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,inferred_coherent
👨‍❤️‍💋‍👨,"kiss man, man",People & Body,,kiss_man_man,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F468,inferred_coherent
👩‍❤️‍💋‍👩,"kiss woman, woman",People & Body,,kiss_woman_woman,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F48B U+200D U+1F469,inferred_coherent
💑,couple with heart,People & Body,,couple_with_heart,U+1F491,inferred_coherent
👩‍❤️‍👨,"couple with heart woman, man",People & Body,,couple_with_heart_woman_man,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F468,inferred_coherent
👨‍❤️‍👨,"couple with heart man, man",People & Body,,couple_with_heart_man_man,U+1F468 U+200D U+2764 U+FE0F U+200D U+1F468,inferred_coherent
👩‍❤️‍👩,"couple with heart woman, woman",People & Body,,couple_with_heart_woman_woman,U+1F469 U+200D U+2764 U+FE0F U+200D U+1F469,inferred_coherent
👨‍👩‍👦,"family man, woman, boy",People & Body,,family_man_woman_boy,U+1F468 U+200D U+1F469 U+200D U+1F466,inferred_coherent
👨‍👩‍👧,"family man, woman, girl",People & Body,,family_man_woman_girl,U+1F468 U+200D U+1F469 U+200D U+1F467,inferred_coherent
👨‍👩‍👧‍👦,"family man, woman, girl, boy",People & Body,,family_man_woman_girl_boy,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,inferred_coherent
👨‍👩‍👦‍👦,"family man, woman, boy, boy",People & Body,,family_man_woman_boy_boy,U+1F468 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,inferred_coherent
👨‍👩‍👧‍👧,"family man, woman, girl, girl",People & Body,,family_man_woman_girl_girl,U+1F468 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,inferred_coherent
👨‍👨‍👦,"family man, man, boy",People & Body,,family_man_man_boy,U+1F468 U+200D U+1F468 U+200D U+1F466,inferred_coherent
👨‍👨‍👧,"family man, man, girl",People & Body,,family_man_man_girl,U+1F468 U+200D U+1F468 U+200D U+1F467,inferred_coherent
👨‍👨‍👧‍👦,"family man, man, girl, boy",People & Body,,family_man_man_girl_boy,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F466,inferred_coherent
👨‍👨‍👦‍👦,"family man, man, boy, boy",People & Body,,family_man_man_boy_boy,U+1F468 U+200D U+1F468 U+200D U+1F466 U+200D U+1F466,inferred_coherent
👨‍👨‍👧‍👧,"family man, man, girl, girl",People & Body,,family_man_man_girl_girl,U+1F468 U+200D U+1F468 U+200D U+1F467 U+200D U+1F467,inferred_coherent
👩‍👩‍👦,"family woman, woman, boy",People & Body,,family_woman_woman_boy,U+1F469 U+200D U+1F469 U+200D U+1F466,inferred_coherent
👩‍👩‍👧,"family woman, woman, girl",People & Body,,family_woman_woman_girl,U+1F469 U+200D U+1F469 U+200D U+1F467,inferred_coherent
👩‍👩‍👧‍👦,"family woman, woman, girl, boy",People & Body,,family_woman_woman_girl_boy,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F466,inferred_coherent
👩‍👩‍👦‍👦,"family woman, woman, boy, boy",People & Body,,family_woman_woman_boy_boy,U+1F469 U+200D U+1F469 U+200D U+1F466 U+200D U+1F466,inferred_coherent
👩‍👩‍👧‍👧,"family woman, woman, girl, girl",People & Body,,family_woman_woman_girl_girl,U+1F469 U+200D U+1F469 U+200D U+1F467 U+200D U+1F467,inferred_coherent
👨‍👦,"family man, boy",People & Body,,family_man_boy,U+1F468 U+200D U+1F466,inferred_coherent
👨‍👦‍👦,"family man, boy, boy",People & Body,,family_man_boy_boy,U+1F468 U+200D U+1F466 U+200D U+1F466,inferred_coherent
👨‍👧,"family man, girl",People & Body,,family_man_girl,U+1F468 U+200D U+1F467,inferred_coherent
👨‍👧‍👦,"family man, girl, boy",People & Body,,family_man_girl_boy,U+1F468 U+200D U+1F467 U+200D U+1F466,inferred_coherent
👨‍👧‍👧,"family man, girl, girl",People & Body,,family_man_girl_girl,U+1F468 U+200D U+1F467 U+200D U+1F467,inferred_coherent
👩‍👦,"family woman, boy",People & Body,,family_woman_boy,U+1F469 U+200D U+1F466,inferred_coherent
👩‍👦‍👦,"family woman, boy, boy",People & Body,,family_woman_boy_boy,U+1F469 U+200D U+1F466 U+200D U+1F466,inferred_coherent
👩‍👧,"family woman, girl",People & Body,,family_woman_girl,U+1F469 U+200D U+1F467,inferred_coherent
👩‍👧‍👦,"family woman, girl, boy",People & Body,,family_woman_girl_boy,U+1F469 U+200D U+1F467 U+200D U+1F466,inferred_coherent
👩‍👧‍👧,"family woman, girl, girl",People & Body,,family_woman_girl_girl,U+1F469 U+200D U+1F467 U+200D U+1F467,inferred_coherent
🗣️,speaking head,People & Body,,speaking_head,U+1F5E3 U+FE0F,inferred_coherent
👤,bust in silhouette,People & Body,,bust_in_silhouette,U+1F464,inferred_coherent
👥,busts in silhouette,People & Body,,busts_in_silhouette,U+1F465,inferred_coherent
🫂,people hugging,People & Body,,people_hugging,U+1FAC2,inferred_coherent
👪,family,People & Body,,family,U+1F46A,inferred_coherent
🧑‍🧑‍🧒,"family adult, adult, child",People & Body,,family_adult_adult_child,U+1F9D1 U+200D U+1F9D1 U+200D U+1F9D2,inferred_coherent
🧑‍🧑‍🧒‍🧒,"family adult, adult, child, child",People & Body,,family_adult_adult_child_child,U+1F9D1 U+200D U+1F9D1 U+200D U+1F9D2 U+200D U+1F9D2,inferred_coherent
🧑‍🧒,"family adult, child",People & Body,,family_adult_child,U+1F9D1 U+200D U+1F9D2,inferred_coherent
