emoji,unicode_name,group,subgroup,slug,codepoint,attestation_status
😵,face with crossed-out eyes,Smileys & Emotion,,face_with_crossed_out_eyes,U+1F635,inferred_coherent
😵‍💫,face with spiral eyes,Smileys & Emotion,,face_with_spiral_eyes,U+1F635 U+200D U+1F4AB,inferred_coherent
🤯,exploding head,Smileys & Emotion,,exploding_head,U+1F92F,inferred_coherent
🤠,cowboy hat face,Smileys & Emotion,,cowboy_hat_face,U+1F920,inferred_coherent
🥳,partying face,Smileys & Emotion,,partying_face,U+1F973,inferred_coherent
🥸,disguised face,Smileys & Emotion,,disguised_face,U+1F978,inferred_coherent
😎,smiling face with sunglasses,Smileys & Emotion,,smiling_face_with_sunglasses,U+1F60E,inferred_coherent
🤓,nerd face,Smileys & Emotion,,nerd_face,U+1F913,inferred_coherent
🧐,face with monocle,Smileys & Emotion,,face_with_monocle,U+1F9D0,inferred_coherent
😕,confused face,Smileys & Emotion,,confused_face,U+1F615,inferred_coherent
🫤,face with diagonal mouth,Smileys & Emotion,,face_with_diagonal_mouth,U+1FAE4,inferred_coherent
😟,worried face,Smileys & Emotion,,worried_face,U+1F61F,inferred_coherent
🙁,slightly frowning face,Smileys & Emotion,,slightly_frowning_face,U+1F641,inferred_coherent
☹️,frowning face,Smileys & Emotion,,frowning_face,U+2639 U+FE0F,inferred_coherent
😮,face with open mouth,Smileys & Emotion,,face_with_open_mouth,U+1F62E,inferred_coherent
😯,hushed face,Smileys & Emotion,,hushed_face,U+1F62F,inferred_coherent
😲,astonished face,Smileys & Emotion,,astonished_face,U+1F632,inferred_coherent
😳,flushed face,Smileys & Emotion,,flushed_face,U+1F633,inferred_coherent
🥺,pleading face,Smileys & Emotion,,pleading_face,U+1F97A,inferred_coherent
🥹,face holding back tears,Smileys & Emotion,,face_holding_back_tears,U+1F979,inferred_coherent
😦,frowning face with open mouth,Smileys & Emotion,,frowning_face_with_open_mouth,U+1F626,inferred_coherent
😧,anguished face,Smileys & Emotion,,anguished_face,U+1F627,inferred_coherent
😨,fearful face,Smileys & Emotion,,fearful_face,U+1F628,inferred_coherent
😰,anxious face with sweat,Smileys & Emotion,,anxious_face_with_sweat,U+1F630,inferred_coherent
😥,sad but relieved face,Smileys & Emotion,,sad_but_relieved_face,U+1F625,inferred_coherent
😢,crying face,Smileys & Emotion,,crying_face,U+1F622,inferred_coherent
😭,loudly crying face,Smileys & Emotion,,loudly_crying_face,U+1F62D,inferred_coherent
😱,face screaming in fear,Smileys & Emotion,,face_screaming_in_fear,U+1F631,inferred_coherent
😖,confounded face,Smileys & Emotion,,confounded_face,U+1F616,inferred_coherent
😣,persevering face,Smileys & Emotion,,persevering_face,U+1F623,inferred_coherent
😞,disappointed face,Smileys & Emotion,,disappointed_face,U+1F61E,inferred_coherent
😓,downcast face with sweat,Smileys & Emotion,,downcast_face_with_sweat,U+1F613,inferred_coherent
😩,weary face,Smileys & Emotion,,weary_face,U+1F629,inferred_coherent
😫,tired face,Smileys & Emotion,,tired_face,U+1F62B,inferred_coherent
🥱,yawning face,Smileys & Emotion,,yawning_face,U+1F971,inferred_coherent
😤,face with steam from nose,Smileys & Emotion,,face_with_steam_from_nose,U+1F624,inferred_coherent
😡,enraged face,Smileys & Emotion,,enraged_face,U+1F621,inferred_coherent
😠,angry face,Smileys & Emotion,,angry_face,U+1F620,inferred_coherent
🤬,face with symbols on mouth,Smileys & Emotion,,face_with_symbols_on_mouth,U+1F92C,inferred_coherent
😈,smiling face with horns,Smileys & Emotion,,smiling_face_with_horns,U+1F608,inferred_coherent
👿,angry face with horns,Smileys & Emotion,,angry_face_with_horns,U+1F47F,inferred_coherent
💀,skull,Smileys & Emotion,,skull,U+1F480,inferred_coherent
☠️,skull and crossbones,Smileys & Emotion,,skull_and_crossbones,U+2620 U+FE0F,inferred_coherent
💩,pile of poo,Smileys & Emotion,,pile_of_poo,U+1F4A9,inferred_coherent
🤡,clown face,Smileys & Emotion,,clown_face,U+1F921,inferred_coherent
👹,ogre,Smileys & Emotion,,ogre,U+1F479,inferred_coherent
👺,goblin,Smileys & Emotion,,goblin,U+1F47A,inferred_coherent
👻,ghost,Smileys & Emotion,,ghost,U+1F47B,inferred_coherent
👽,alien,Smileys & Emotion,,alien,U+1F47D,inferred_coherent
👾,alien monster,Smileys & Emotion,,alien_monster,U+1F47E,inferred_coherent
🤖,robot,Smileys & Emotion,,robot,U+1F916,inferred_coherent
😺,grinning cat,Smileys & Emotion,,grinning_cat,U+1F63A,inferred_coherent
😸,grinning cat with smiling eyes,Smileys & Emotion,,grinning_cat_with_smiling_eyes,U+1F638,inferred_coherent
😹,cat with tears of joy,Smileys & Emotion,,cat_with_tears_of_joy,U+1F639,inferred_coherent
😻,smiling cat with heart-eyes,Smileys & Emotion,,smiling_cat_with_heart_eyes,U+1F63B,inferred_coherent
😼,cat with wry smile,Smileys & Emotion,,cat_with_wry_smile,U+1F63C,inferred_coherent
